Time (UTCG),Lat (deg),Lon (deg),Alt (km),speed (km/sec)
0,0.127,-116.637,300.000104,7.301502
1,0.159,-116.583,300.000163,7.301502
2,0.191,-116.529,300.000235,7.301502
3,0.223,-116.475,300.00032,7.301502
4,0.254,-116.421,300.000418,7.301502
5,0.286,-116.367,300.000529,7.301502
6,0.318,-116.313,300.000654,7.301501
7,0.35,-116.259,300.000791,7.301501
8,0.382,-116.205,300.000942,7.301501
9,0.414,-116.15,300.001105,7.301501
10,0.445,-116.096,300.001282,7.301501
11,0.477,-116.042,300.001472,7.301501
12,0.509,-115.988,300.001674,7.301501
13,0.541,-115.934,300.00189,7.301501
14,0.573,-115.88,300.002119,7.3015
15,0.605,-115.826,300.002361,7.3015
16,0.636,-115.772,300.002617,7.3015
17,0.668,-115.718,300.002885,7.3015
18,0.7,-115.664,300.003166,7.3015
19,0.732,-115.61,300.003461,7.301499
20,0.764,-115.556,300.003768,7.301499
21,0.795,-115.501,300.004089,7.301499
22,0.827,-115.447,300.004422,7.301499
23,0.859,-115.393,300.004769,7.301498
24,0.891,-115.339,300.005129,7.301498
25,0.923,-115.285,300.005502,7.301498
26,0.955,-115.231,300.005888,7.301498
27,0.986,-115.177,300.006287,7.301497
28,1.018,-115.123,300.006699,7.301497
29,1.05,-115.069,300.007124,7.301497
30,1.082,-115.015,300.007562,7.301496
31,1.114,-114.961,300.008013,7.301496
32,1.145,-114.906,300.008477,7.301496
33,1.177,-114.852,300.008955,7.301495
34,1.209,-114.798,300.009445,7.301495
35,1.241,-114.744,300.009948,7.301494
36,1.273,-114.69,300.010465,7.301494
37,1.305,-114.636,300.010994,7.301494
38,1.336,-114.582,300.011537,7.301493
39,1.368,-114.528,300.012093,7.301493
40,1.4,-114.474,300.012661,7.301492
41,1.432,-114.42,300.013243,7.301492
42,1.464,-114.365,300.013837,7.301492
43,1.495,-114.311,300.014445,7.301491
44,1.527,-114.257,300.015066,7.301491
45,1.559,-114.203,300.015699,7.30149
46,1.591,-114.149,300.016346,7.30149
47,1.623,-114.095,300.017006,7.301489
48,1.654,-114.041,300.017679,7.301489
49,1.686,-113.987,300.018364,7.301488
50,1.718,-113.933,300.019063,7.301488
51,1.75,-113.878,300.019775,7.301487
52,1.781,-113.824,300.0205,7.301486
53,1.813,-113.77,300.021237,7.301486
54,1.845,-113.716,300.021988,7.301485
55,1.877,-113.662,300.022752,7.301485
56,1.909,-113.608,300.023528,7.301484
57,1.94,-113.554,300.024318,7.301484
58,1.972,-113.499,300.02512,7.301483
59,2.004,-113.445,300.025936,7.301482
60,2.036,-113.391,300.026764,7.301482
61,2.067,-113.337,300.027606,7.301481
62,2.099,-113.283,300.02846,7.30148
63,2.131,-113.229,300.029328,7.30148
64,2.163,-113.175,300.030208,7.301479
65,2.194,-113.12,300.031101,7.301478
66,2.226,-113.066,300.032007,7.301478
67,2.258,-113.012,300.032926,7.301477
68,2.29,-112.958,300.033858,7.301476
69,2.321,-112.904,300.034803,7.301476
70,2.353,-112.85,300.035761,7.301475
71,2.385,-112.795,300.036732,7.301474
72,2.417,-112.741,300.037715,7.301473
73,2.448,-112.687,300.038712,7.301473
74,2.48,-112.633,300.039721,7.301472
75,2.512,-112.579,300.040743,7.301471
76,2.544,-112.525,300.041778,7.30147
77,2.575,-112.47,300.042826,7.30147
78,2.607,-112.416,300.043887,7.301469
79,2.639,-112.362,300.044961,7.301468
80,2.67,-112.308,300.046048,7.301467
81,2.702,-112.254,300.047147,7.301466
82,2.734,-112.199,300.048259,7.301466
83,2.766,-112.145,300.049385,7.301465
84,2.797,-112.091,300.050522,7.301464
85,2.829,-112.037,300.051673,7.301463
86,2.861,-111.983,300.052837,7.301462
87,2.892,-111.928,300.054013,7.301461
88,2.924,-111.874,300.055202,7.30146
89,2.956,-111.82,300.056404,7.301459
90,2.987,-111.766,300.057619,7.301458
91,3.019,-111.711,300.058847,7.301458
92,3.051,-111.657,300.060087,7.301457
93,3.083,-111.603,300.06134,7.301456
94,3.114,-111.549,300.062606,7.301455
95,3.146,-111.494,300.063885,7.301454
96,3.178,-111.44,300.065176,7.301453
97,3.209,-111.386,300.066481,7.301452
98,3.241,-111.332,300.067797,7.301451
99,3.273,-111.277,300.069127,7.30145
100,3.304,-111.223,300.070469,7.301449
101,3.336,-111.169,300.071825,7.301448
102,3.367,-111.115,300.073192,7.301447
103,3.399,-111.06,300.074573,7.301446
104,3.431,-111.006,300.075966,7.301445
105,3.462,-110.952,300.077372,7.301444
106,3.494,-110.898,300.07879,7.301442
107,3.526,-110.843,300.080222,7.301441
108,3.557,-110.789,300.081666,7.30144
109,3.589,-110.735,300.083122,7.301439
110,3.621,-110.68,300.084591,7.301438
111,3.652,-110.626,300.086073,7.301437
112,3.684,-110.572,300.087568,7.301436
113,3.715,-110.517,300.089075,7.301435
114,3.747,-110.463,300.090594,7.301434
115,3.779,-110.409,300.092127,7.301432
116,3.81,-110.354,300.093672,7.301431
117,3.842,-110.3,300.095229,7.30143
118,3.873,-110.246,300.096799,7.301429
119,3.905,-110.191,300.098382,7.301428
120,3.937,-110.137,300.099977,7.301426
121,3.968,-110.083,300.101585,7.301425
122,4,-110.028,300.103205,7.301424
123,4.031,-109.974,300.104838,7.301423
124,4.063,-109.92,300.106484,7.301422
125,4.094,-109.865,300.108142,7.30142
126,4.126,-109.811,300.109812,7.301419
127,4.157,-109.757,300.111495,7.301418
128,4.189,-109.702,300.113191,7.301416
129,4.221,-109.648,300.114899,7.301415
130,4.252,-109.593,300.116619,7.301414
131,4.284,-109.539,300.118352,7.301413
132,4.315,-109.485,300.120097,7.301411
133,4.347,-109.43,300.121855,7.30141
134,4.378,-109.376,300.123625,7.301409
135,4.41,-109.321,300.125408,7.301407
136,4.441,-109.267,300.127203,7.301406
137,4.473,-109.213,300.129011,7.301404
138,4.504,-109.158,300.130831,7.301403
139,4.536,-109.104,300.132663,7.301402
140,4.567,-109.049,300.134508,7.3014
141,4.599,-108.995,300.136365,7.301399
142,4.63,-108.94,300.138234,7.301398
143,4.662,-108.886,300.140116,7.301396
144,4.693,-108.832,300.14201,7.301395
145,4.725,-108.777,300.143917,7.301393
146,4.756,-108.723,300.145836,7.301392
147,4.788,-108.668,300.147767,7.30139
148,4.819,-108.614,300.14971,7.301389
149,4.85,-108.559,300.151666,7.301387
150,4.882,-108.505,300.153634,7.301386
151,4.913,-108.45,300.155614,7.301384
152,4.945,-108.396,300.157607,7.301383
153,4.976,-108.341,300.159611,7.301381
154,5.008,-108.287,300.161628,7.30138
155,5.039,-108.232,300.163658,7.301378
156,5.07,-108.178,300.165699,7.301377
157,5.102,-108.123,300.167753,7.301375
158,5.133,-108.069,300.169819,7.301374
159,5.165,-108.014,300.171897,7.301372
160,5.196,-107.959,300.173987,7.30137
161,5.227,-107.905,300.176089,7.301369
162,5.259,-107.85,300.178204,7.301367
163,5.29,-107.796,300.18033,7.301366
164,5.321,-107.741,300.182469,7.301364
165,5.353,-107.687,300.18462,7.301362
166,5.384,-107.632,300.186783,7.301361
167,5.416,-107.577,300.188958,7.301359
168,5.447,-107.523,300.191145,7.301358
169,5.478,-107.468,300.193345,7.301356
170,5.51,-107.414,300.195556,7.301354
171,5.541,-107.359,300.197779,7.301352
172,5.572,-107.304,300.200015,7.301351
173,5.604,-107.25,300.202262,7.301349
174,5.635,-107.195,300.204522,7.301347
175,5.666,-107.141,300.206793,7.301346
176,5.697,-107.086,300.209077,7.301344
177,5.729,-107.031,300.211372,7.301342
178,5.76,-106.977,300.213679,7.30134
179,5.791,-106.922,300.215999,7.301339
180,5.823,-106.867,300.21833,7.301337
181,5.854,-106.813,300.220673,7.301335
182,5.885,-106.758,300.223028,7.301333
183,5.916,-106.703,300.225395,7.301332
184,5.948,-106.649,300.227774,7.30133
