Time,Azimuth,Elevation,Range,Free Space Loss,Prop Loss,Rcvd. Iso. Power,Carrier Power at Rcvr Input,Flux Density,g/T,C/No,C/N,Eb/No,Propagation Delay,Propagation Distance,Spectral Flux Density
0,143.355487941833,-81.9569801815635,304.330260602254,165.600339730672,165.600339730672,-135.600339730672,-135.600339730672,-90.9172951043098,20,52.9987991323991,37.9472993492,40.9575993058399,0.00104577708237837,313.516082046281,-165.968794887509
1,147.968487085836,-80.8884712692765,305.228864715377,165.549005055303,165.549005055303,-135.549005055303,-135.549005055303,-90.8659604289415,20,53.0501338077674,37.9986340245683,41.0089339812081,0.00103961463961677,311.668628183497,-165.917460212141
2,151.582024813916,-79.7815488745541,306.283304483972,165.501444391468,165.501444391468,-135.501444391468,-135.501444391468,-90.8183997651063,20,53.0976944716026,38.0461946884036,41.0564946450434,0.00103393765766895,309.966711811339,-165.869899548305
3,154.467875019516,-78.6513110290994,307.491975904787,165.457789582064,165.457789582064,-135.457789582064,-135.457789582064,-90.774744955702,20,53.1413492810069,38.0898494978079,41.1001494544477,0.00102875418002658,308.412744307942,-165.826244738901
4,156.814664864145,-77.508010860734,308.853067354234,165.418164672825,165.418164672825,-135.418164672825,-135.418164672825,-90.7351200464636,20,53.1809741902453,38.1294744070463,41.1397743636861,0.00102407170639707,307.008974029032,-165.786619829663
5,158.754458781386,-76.3588697407661,310.36457237001,165.382684832926,165.382684832926,-135.382684832926,-135.382684832926,-90.6996402065644,20,53.2164540301445,38.1649542469454,41.1752542035852,0.00101989714341402,305.757471531269,-165.751139989763
6,160.381192865057,-75.2091571219367,312.024303871741,165.351455293922,165.351455293922,-135.351455293922,-135.351455293922,-90.6684106675602,20,53.2476835691487,38.1961837859497,41.2064837425895,0.00101623675529278,304.660114779168,-165.719910450759
7,161.762901359665,-74.0628439145735,313.829908634745,165.324570367266,165.324570367266,-135.324570367266,-135.324570367266,-90.6415257409038,20,53.2745684958051,38.223068712606,41.2333686692458,0.00101309612006539,303.718576024666,-165.693025524103
8,162.949765961691,-72.9230064394166,315.778882918541,165.302112528288,165.302112528288,-135.302112528288,-135.302112528288,-90.6190679019261,20,53.2970263347828,38.2455265515838,41.2558265082236,0.00101048008847696,302.934309484565,-165.670567685125
9,163.979450431665,-71.7920832487774,317.868587783118,165.28415159132,165.28415159132,-135.28415159132,-135.28415159132,-90.6011069649579,20,53.314987271751,38.2634874885519,41.2737874451917,0.00100839274703379,302.308540262631,-165.652606748157
10,164.880687112575,-70.6720421671945,320.096265287666,165.270744001633,165.270744001633,-135.270744001633,-135.270744001633,-90.5876993752707,20,53.3283948614382,38.2768950782392,41.287195034879,0.00100683738687371,301.842255017166,-165.63919915847
11,165.675724970966,-69.5644924629928,322.459053849797,165.261932256398,165.261932256398,-135.261932256398,-135.261932256398,-90.5788876300356,20,53.3372066066733,38.2857068234742,41.296006780114,0.0010058164786923,301.536194444068,-165.630387413235
12,166.382031080033,-68.4707615516694,324.954004259584,165.257744453732,165.257744453732,-135.257744453732,-135.257744453732,-90.5746998273696,20,53.3413944093392,38.2898946261402,41.30019458278,0.00100533165262992,301.390847247127,-165.626199610569
12.1157205,166.458699258989,-68.3451386277427,325.251116095656,165.257558728777,165.257558728777,-135.257558728777,-135.257558728777,-90.5745141024151,20,53.3415801342937,38.2900803510947,41.3003803077345,0.00100531015648076,301.384402863733,-165.626013885614
